age,region
-0.13362562736105968,DefaultA_IPL_2
-0.06177831077084488,DefaultA_PFCd_1
-0.11807802165344414,DefaultA_PFCd_2
-0.10815351939037886,DefaultA_pCunPCC_1
-0.06639591088229443,DefaultA_pCunPCC_2
-0.07257713417509294,DefaultA_pCunPCC_3
-0.05594731342852392,DefaultA_pCunPCC_4
-0.12529552208081546,DefaultA_pCunPCC_5
-0.11913543407682538,DefaultA_PFCm_1
NA,DefaultA_PFCm_2
-0.0898916718391479,DefaultA_PFCm_3
-0.10954978439201554,DefaultA_PFCm_4
-0.13655838306468343,DefaultA_PFCm_5
-0.21127483927173446,DefaultA_PFCm_6
-0.13503132174156549,DefaultB_Temp_1
-0.03961445900287182,DefaultB_Temp_2
-0.10367084952420966,DefaultB_AntTemp_1
-0.14279825089741377,DefaultB_PFCd_1
-0.1529499366405717,DefaultB_PFCd_2
-0.14177681367270964,DefaultB_PFCd_3
-0.150735810325454,DefaultB_PFCd_4
-0.1110322354940124,DefaultB_PFCd_5
-0.09377848466842452,DefaultB_PFCv_1
-0.03642051422596434,DefaultB_PFCv_2
-0.06978229103509258,DefaultB_PFCv_3
-0.17175466345288318,DefaultC_IPL_1
NA,DefaultC_IPL_2
-0.07605935136117856,DefaultC_Rsp_1
-0.08262884134350122,DefaultC_Rsp_2
-0.09987959090114708,DefaultC_PHC_1
-0.031125519266872577,DefaultC_PHC_2
-0.03316912327976914,TempPar_1
-0.06160660089635388,TempPar_2
-0.05374038735063367,TempPar_3
-0.044834175944186004,TempPar_4
-0.05595063596597672,TempPar_5
-0.09209784812422415,TempPar_6
-0.03660801675510302,TempPar_7
-0.049247011203613154,TempPar_8
NA,TempPar_9
NA,TempPar_10
